line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
,ALLOCATION_VALIDATE_FAIL,1126012305,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012306,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012307,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012308,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012309,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012310,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012311,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012322,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012333,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012334,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012335,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012401,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012402,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012403,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012404,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012405,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012407,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012408,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012409,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012410,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012411,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012412,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012413,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012414,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012415,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012416,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012424,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012425,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012426,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012428,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012429,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012430,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012433,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012434,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012435,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012436,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012437,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012443,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012444,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012445,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012446,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012447,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012448,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012449,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012450,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012451,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012452,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012501,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012518,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012521,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012522,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012523,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012525,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012604,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012605,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012611,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012612,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012613,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012614,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012615,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020601,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020602,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020603,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020604,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020605,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020608,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020609,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020610,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020611,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020612,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020613,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020614,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020615,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020616,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020620,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020621,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020626,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020627,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020628,PTLBM VIETNAM,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020630,WOO TRADING CO,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
